let WebInput = `Nr,Sted,År,Inndeling,Rnr,Region,Fnr,Fylke,Sum of Antall personer 6-15,Sum of Folkemengde,Kunstnertetthet,Kunstnermangfold,SKS tildelinger,Kulturformidling,Kunstnerisk Produksjon,Media,Kommunale Midler,Total Besøk,Betalende Besøk,TONO Arrangemanger,TONO Avregning,Billettselskap Arrangemanger,Billettselskap Omsettning,Filmfremvisninger,Kinobesøk,Mangfold filmframvisniger,Mangfold kinobesøk,Utlån,Besøk,Voksne aktive lånere,Teater Forestillinger,Teater Publikum,Dans Forestillinger,Timer,Mangfold Timer,Elever,Publikum,Mangfold Publikum,Frifond,Riksantikvar og Kulturminnefond,Statsbudsjett og Kulturråd,Historielag,Husflidlag,Kor,Korps,MVA Refusjon,Voksenopplæring
1,Østfold,2012,Fylke,,,1,Østfold,34613,282000,2.4,12,19.6,1.5,1.8,2.1,47,0.3,0,1.9,4.1,2.2,167.6,73.5,2,9,9,4.7,3.3,117.8,0,0,0,1.1,16,0.1,5.2,11,2.4,13.5,8,14.3,3.1,16.4,9.4,5.1,13
1,Østfold,2013,Fylke,,,1,Østfold,34522,284962,2.4,11,20.4,1.5,1.8,1.9,58.3,0.5,0.2,2.6,5.6,2.2,165.9,74.7,2,9,10,4.4,3.1,113.8,0.1,0,0,1.2,16,0.1,5.3,6,3.9,33.9,93,14.2,2.9,15.6,9,7.9,12.9
1,Østfold,2014,Fylke,,,1,Østfold,34625,287198,2.5,12,19.4,1.6,1.8,1.6,49,0.4,0.1,2.6,5.5,2.1,164.6,73,1.8,9,11,4.2,2.8,112.5,0.4,0.1,0.1,1.1,17,0.1,5.1,15,2.4,47.7,99.1,14,3,15.1,9.7,9.6,12.8
1,Østfold,2015,Fylke,,,1,Østfold,35130,289867,2.4,13,17.5,1.4,1.8,1.2,47.1,0.4,0.2,0,0,2.4,175.4,73.4,2,9,10,4.1,3.2,102.2,1,0.2,0.1,1,17,0.1,5.2,9,1.7,33,93.4,12.3,2.8,14.5,9.2,9.4,13.6
2,Akershus,2012,Fylke,,,2,Akershus,77063,566399,4,2,36.7,1.8,2.6,1.6,23.2,0.4,0.1,1.5,3.8,1.7,328.8,77.1,2.2,7,8,4.9,3.6,140.8,0,0,0.1,1.8,16,0.2,5.5,5,3.2,11.4,6.5,11.9,6,14.7,11.1,6.2,11.8
2,Akershus,2013,Fylke,,,2,Akershus,77875,575757,4,2,34.7,1.8,2.8,1.5,23.8,0.6,0.2,2,4.4,1.7,323.5,77.5,2.1,4,7,4.8,3.5,139.3,0,0,0.1,1.8,18,0.2,5.1,7,4.2,16.7,26.5,11.7,6.4,14.1,10.8,9.3,11.7
2,Akershus,2014,Fylke,,,2,Akershus,78997,584899,4.1,2,34.4,1.9,2.6,1.4,22.7,0.9,0.5,2,4.4,1.7,318.4,77.1,2,6,8,4.7,4.2,136.8,0.2,0,0.2,1.8,16,0.1,5.2,11,3.4,23.5,17.8,11.5,6.5,13.9,10.7,10.9,11.5
2,Akershus,2015,Fylke,,,2,Akershus,80197,594533,4,2,34.5,1.5,2.5,1.2,28.4,0.7,0.3,0,0,1.9,250.9,73.4,2.1,12,9,4.4,4.1,129.1,0.1,0,0.1,1.8,16,0.1,4.6,15,2.6,19.4,10.6,6.1,6.5,13.6,10.3,11.7,12.5
3,Oslo,2012,Fylke,,,3,Oslo,60838,623966,11.4,1,169.7,8.9,8.5,18.1,162,1.4,0.5,5.7,33.3,5.2,730.7,64,3.6,8,1,4.4,3.4,115.6,5.5,1.4,0.9,0.4,19,0.1,3.8,18,4.7,3.4,370,3.8,2.2,14.6,9.1,10.4,6.7
3,Oslo,2013,Fylke,,,3,Oslo,62133,634463,11.1,1,175.4,8.8,8.6,17.4,156.9,7,3.7,7.8,33.3,5.1,718.7,51.8,3.3,8,1,4.4,3.3,112.8,5,1.5,1.2,0.4,19,0.1,3.4,18,5.2,5,330.5,3.7,1.7,14.4,9.1,13.7,6.6
3,Oslo,2014,Fylke,,,3,Oslo,63883,647676,11.4,1,194.3,8.8,8.4,16.6,146.1,6.1,3.8,7.6,32.7,5,704,58.1,3,7,1,4.2,3.3,110,6,1.5,1,0.5,19,0.1,3.8,18,4.6,8.8,385.3,3.7,1.7,15.6,8.9,17,6.4
3,Oslo,2015,Fylke,,,3,Oslo,66046,658390,11.4,1,204.3,7.5,7.8,15.4,140,6.6,3.7,0,0,5.5,794.6,54.5,3.2,10,1,3.9,3.3,108.2,5.7,1.4,0.9,0.5,19,0.1,4,18,3.8,4.4,408,5.7,1.6,16.2,9.3,19.7,6.6
4,Hedmark,2012,Fylke,,,4,Hedmark,22450,193719,2.5,13,18.7,1.4,2.3,2.3,38.3,1.2,1,3,7.6,2.1,122,40.2,1.5,19,18,5,4.6,145.9,0.7,0.1,0.1,2.1,11,0.2,5.2,6,3.2,53.1,29.5,10.3,7.1,16.8,14.5,7.8,16.3
4,Hedmark,2013,Fylke,,,4,Hedmark,22212,194433,2.5,13,25.9,1.5,2.4,2.3,27.5,1.1,0.9,3.1,9.9,2.1,121.6,41.7,1.5,19,16,4.8,4.3,146,1.3,0.1,0.1,2.2,9,0.2,5,10,3.9,128.1,32.8,10.2,7.7,15.8,13.5,12.3,16.3
4,Hedmark,2014,Fylke,,,4,Hedmark,22079,195153,2.6,13,27.4,1.4,2.5,2.1,27.6,1.5,0.8,3.1,9.9,2.1,121.1,50.4,1.5,15,14,4.7,5.1,146.9,1.1,0.1,0.1,2.3,10,0.2,5.9,10,2.4,75.5,34.3,10.2,7.8,15.6,14.3,14,16.2
4,Hedmark,2015,Fylke,,,4,Hedmark,21988,195356,2.5,14,27.9,1.2,2.5,1.6,29.1,1.1,0.7,0,0,2.6,145.7,50.1,1.7,17,15,4.7,4.7,142.2,1,0.1,0,2.2,11,0.2,5.3,15,2.4,86.6,42,11.3,7.9,16.5,14.1,15,14.5
5,Oppland,2012,Fylke,,,5,Oppland,22028,187254,2.5,11,32.2,1.3,3.3,2.3,56.1,1.7,1.3,3,8.8,2.9,272.3,38.5,1.5,18,15,5,4,156.8,0.5,0.1,0.1,2.8,6,0.2,4.5,13,4.3,29.1,28.2,16.6,7.3,19.1,15.9,7.2,19.7
5,Oppland,2013,Fylke,,,5,Oppland,21757,187820,2.6,9,33.9,1.3,3.5,2.2,60.1,2.2,1.4,3.4,9.5,2.9,271.4,38.9,1.6,17,13,4.9,4.6,154,0.9,0.1,0.1,2.7,7,0.2,4.2,13,4,90.8,33.4,16.5,8.1,18.6,15.7,13.3,19.7
5,Oppland,2014,Fylke,,,5,Oppland,21614,188807,2.7,9,31.7,1.3,3.5,2.4,58.3,2.3,1.4,3.4,9.4,2.9,270,38.3,1.4,18,17,4.9,4.6,153.3,0.7,0.1,0.1,2.8,2,0.2,5,13,3.1,144.2,51.8,16.4,9.2,16.7,16,13.6,19.5
5,Oppland,2015,Fylke,,,5,Oppland,21475,188953,2.7,6,31.8,1,3.2,2.3,55.2,2.2,1.1,0,0,2.8,286.9,24.3,1.2,19,19,4.8,4.6,152,0.9,0.1,0,2.8,3,0.2,5,8,3,139.2,55.2,18.1,9.5,16.9,15.8,14.8,20.3
6,Buskerud,2012,Fylke,,,6,Buskerud,32912,269003,2.5,9,19.1,1.3,2.6,2,51.6,1,0.6,2.9,5.7,1.5,115.4,59.8,2,12,11,4.4,4,130.5,0.4,0.1,0,1.8,10,0.1,5.3,7,2.6,4.4,28.7,17,4.7,12.7,10,7.5,10.1
6,Buskerud,2013,Fylke,,,6,Buskerud,33017,272228,2.5,10,20.4,1.4,2.5,1.8,53.3,1,0.6,3.5,6,1.5,114.1,58.5,2,14,12,4.3,4,117.1,0.6,0.1,0.1,1.8,10,0.1,5,7,2.8,16.8,34,16.8,4.6,12.7,9.9,10.4,9.9
6,Buskerud,2014,Fylke,,,6,Buskerud,33460,274737,2.5,9,19.2,1.4,2.5,1.6,51.5,0.9,0.6,3.5,5.9,1.5,113,58.7,1.9,14,10,4,3.9,116.8,0.7,0.1,0,1.8,12,0.1,5.6,6,2.4,24.3,28.2,16.6,4.1,13,10.1,11.8,9.9
6,Buskerud,2015,Fylke,,,6,Buskerud,33759,277684,2.4,11,20,1.4,2.4,1.5,53.6,1,0.6,0,0,1.9,139.7,57.4,2,16,10,3.7,3.9,110.4,0.7,0.1,0,1.6,15,0.1,5.3,9,2.8,9.9,30.3,15.9,4.2,13,9.5,15.3,9.8
7,Vestfold,2012,Fylke,,,7,Vestfold,29260,238748,2.6,6,25.1,1.9,2.3,1.6,59.5,0.6,0.2,2.4,5,1.9,251.6,135.1,2.4,1,6,6.4,4.2,160.7,0.4,0.1,0.1,1.3,16,0.1,4.9,8,3,4.7,28.1,7.8,4.5,15.4,10.7,7.8,13
7,Vestfold,2013,Fylke,,,7,Vestfold,29187,240860,2.5,6,27.4,1.9,2.4,1.4,62.2,0.8,0.3,4.3,6.3,1.9,249.4,132.3,2.2,1,8,6,4.3,156.4,0.6,0.1,0.1,1.2,17,0.2,4.9,11,3.9,18.9,27.8,7.8,4.7,14.3,10.5,10,12.9
7,Vestfold,2014,Fylke,,,7,Vestfold,29257,242662,2.6,8,23.6,1.9,2.5,1.2,61.3,0.6,0.2,4.3,6.3,1.9,247.6,132.1,2,1,7,5.9,4.2,152.1,0.4,0,0.1,1.2,18,0.1,5.3,12,3.4,18.9,13.1,7.7,4.8,13.2,10.1,12.9,12.8
7,Vestfold,2015,Fylke,,,7,Vestfold,29407,244967,2.5,10,17.2,1.7,2.5,1.2,66.4,0.7,0.2,0,0,1.9,272.4,124.9,2.2,1,7,5.8,4.1,148.4,0.4,0,0.1,1.3,18,0.1,5.3,13,2.5,13.4,16.9,7.7,4.9,12.3,10.2,13.1,13.7
8,Telemark,2012,Fylke,,,8,Telemark,20172,170902,2.7,7,27.9,1.8,3,2.1,94.1,1,0.4,3.5,12.3,2.5,236.6,83.3,2,5,9,5.3,3.1,140.1,1.3,0.1,0.1,2.4,5,0.2,6.5,1,1.9,48.6,72.4,12.3,3.5,16.7,12.6,8.5,14.6
8,Telemark,2013,Fylke,,,8,Telemark,20017,171469,2.7,7,32.1,1.8,3.1,2.1,59.5,1,0.4,4.7,11.9,2.5,235.8,85,2,3,9,4.9,4.2,131.6,2.6,0.3,0.2,2.6,4,0.2,7,1,2.3,63.7,76.2,12.3,3.9,16.6,12.5,12.4,14.5
8,Telemark,2014,Fylke,,,8,Telemark,20040,171953,2.7,7,33.3,1.7,2.9,2,41.2,1,0.4,4.7,11.9,2.5,235.1,92.1,2,3,8,4.8,4.4,135.1,2.4,0.3,0.1,2.6,3,0.2,6.7,1,2.9,64.9,49.1,12.3,4,15.8,11.9,14.5,14.5
8,Telemark,2015,Fylke,,,8,Telemark,20008,172494,2.7,6,33.4,1.3,3,1.7,47.2,1.3,0.7,0,0,2.6,295.1,89.5,2.1,4,7,4.4,4.2,119.1,2.6,0.4,0.1,2.5,8,0.2,7,1,1.9,125.4,48.8,12.9,4.4,15.8,11.5,15.7,14.5
9,Aust-Agder,2012,Fylke,,,9,Aust-Agder,14437,112772,1.9,15,18.9,1.4,3,1.9,91.9,0.4,0.1,3.4,9,2.7,413.8,53.4,1.4,14,19,4.6,4.7,144.6,0.2,0,0.1,1.9,14,0.1,4.8,10,1.7,45.8,39.1,23.7,5.5,20.2,10.1,6.6,22.6
9,Aust-Agder,2013,Fylke,,,9,Aust-Agder,14399,113747,1.9,16,16.7,1.5,2.9,1.7,109.3,0.3,0.1,3.8,10.6,2.6,410.2,70.2,1.6,13,17,4.2,4.4,135.4,0.2,0.1,0.1,1.9,15,0.2,4.4,9,3,44.1,57,23.5,5.5,20.3,10.5,10,22.4
9,Aust-Agder,2014,Fylke,,,9,Aust-Agder,14443,114767,1.9,15,21.3,1.5,2.8,1.6,118.1,0.4,0.1,3.8,10.5,2.6,406.6,68.9,1.6,13,15,4.3,4.5,135.9,0.4,0.1,0,1.8,15,0.1,6,3,2.8,28.5,69.1,23.3,5.6,19.7,9.9,11,22.2
9,Aust-Agder,2015,Fylke,,,9,Aust-Agder,14542,115785,2.1,16,10.8,1.3,2.9,1.5,122.2,0.5,0.1,0,0,2.5,166.5,73.8,1.7,7,17,4.1,4.3,134.1,0.3,0,0,1.7,14,0.1,5.9,5,2.9,57.4,77.6,25,5.7,17.6,10.1,8.7,25.3
10,Vest-Agder,2012,Fylke,,,10,Vest-Agder,22894,176353,2.9,8,13.8,2.7,2.8,2.7,125.1,0.4,0.2,3.6,12.4,1.8,219.3,82.3,2.8,2,2,5.8,5.8,167,1.5,0.5,0.1,1.6,13,0.1,6.3,3,2.5,20.5,359.2,19.3,4,22.5,9.4,4.6,17
10,Vest-Agder,2013,Fylke,,,10,Vest-Agder,22987,178478,2.9,7,12.1,2.7,2.9,2.4,122.9,1.2,0.3,4.3,9.9,1.7,216.7,72.5,2.4,6,4,5.6,6.1,168.4,1.6,0.4,0.1,1.6,13,0.2,5.4,4,3.7,35.9,374.1,19.1,3.9,21.5,9.7,8.4,16.8
10,Vest-Agder,2014,Fylke,,,10,Vest-Agder,23303,180877,3,6,23.2,2.8,2.8,2.3,116.1,1.1,0.3,4.2,9.8,1.7,213.8,74.5,2.4,5,5,5.6,6.3,170,0.9,0.2,0.1,1.6,13,0.1,6.7,1,4.1,45.3,379.6,18.8,4,22,9.7,12.5,16.6
10,Vest-Agder,2015,Fylke,,,10,Vest-Agder,23576,182701,3,8,21.8,2.6,2.6,1.9,155.4,1.2,0.4,0,0,2.1,230.6,73,2.5,6,4,5.7,5.9,162.8,1,0.3,0.2,1.5,12,0.1,5.6,3,3.5,61.2,359.5,14.1,3.8,20.2,10,10.9,14.6
11,Rogaland,2012,Fylke,,,11,Rogaland,60125,452159,2.6,10,7,1.8,3,2,88.4,0.9,0.4,2.7,5.8,1.8,272.4,59.2,2.5,13,7,5.5,4.6,126.4,1.4,0.2,0.1,2.3,9,0.2,3.9,17,2.3,3.9,169.5,8.3,3.5,18,11.8,6.9,7.8
11,Rogaland,2013,Fylke,,,11,Rogaland,60421,459625,2.6,12,8.9,1.8,3,1.8,87.6,1.5,0.8,3.1,9.2,1.8,268,64,2.5,10,5,5.2,4.9,119.2,1.2,0.2,0.2,2.3,12,0.2,3.9,17,2.9,13.8,186.3,8.2,3.5,16.7,11.7,9.1,7.7
11,Rogaland,2014,Fylke,,,11,Rogaland,61030,466302,2.7,11,10,1.8,3.1,1.6,86.6,1.4,0.7,3.1,9.1,1.8,264.1,64.6,2.3,12,6,5.1,5.8,119.2,1.6,0.2,0.2,2.3,5,0.2,4.3,16,3,9.1,196,8.1,3.5,16.5,11.9,12.3,7.6
11,Rogaland,2015,Fylke,,,11,Rogaland,61679,470175,2.7,9,13.3,1.6,3.1,1.5,82.3,1.4,0.8,0,0,2.4,233.6,63.1,2.5,13,5,5,6.4,113,1.5,0.2,0.1,2.3,5,0.2,4.2,17,2.4,15.6,201.4,6.7,3.6,16.7,11.6,11.8,8.3
12,Hordaland,2012,Fylke,,,12,Hordaland,62144,498135,3.6,3,41.5,2.8,3,3.8,65.8,1.1,0.7,3,16.4,3.2,295.1,59.4,2.7,11,3,4.7,4.1,137.8,2.3,0.4,0.2,2,15,0.2,2.3,19,4,11.1,322.9,15.5,3.2,21.1,13.7,8.7,10.3
12,Hordaland,2013,Fylke,,,12,Hordaland,62400,505246,3.6,3,43.6,2.8,3,3.6,92,2.1,1,5,16,3.2,291,57.3,2.6,6,3,4.5,3.8,131.5,2.5,0.4,0.2,1.9,14,0.2,2.5,19,3.9,112.2,333.1,15.2,3.2,20.6,12.9,12.6,10.1
12,Hordaland,2014,Fylke,,,12,Hordaland,62913,511357,3.6,3,44.4,2.9,3.2,3.5,68.4,1.9,1.2,5,15.8,3.1,287.5,59.1,2.4,9,4,4.1,3.9,123.2,2.3,0.3,0.3,1.8,14,0.1,3.7,19,4.3,36.2,349.5,15.1,3.3,18.3,13.2,30,10
12,Hordaland,2015,Fylke,,,12,Hordaland,63441,516497,3.6,3,47.8,2.5,3.2,3.1,83,2,1.1,0,0,3.5,374.4,65.1,2.6,8,3,4.1,4.3,126,2.2,0.3,0.2,1.9,13,0.1,3.4,19,2.9,59.3,368.6,13.2,3.3,19.3,13.2,18.8,10.9
14,Sogn og Fjordane,2012,Fylke,,,14,Sogn og Fjordane,14166,108700,1.9,19,21.6,1.2,3.1,2.2,26.7,0.6,0.2,3.6,8.5,3.3,311.6,47.3,1.7,16,14,4.7,4.6,125,1.1,0.2,0,5.2,2,0.3,6.4,2,1.2,18.3,89.1,16.1,6.7,21.7,24.6,7.8,23
14,Sogn og Fjordane,2013,Fylke,,,14,Sogn og Fjordane,14112,108965,1.9,19,19.1,1.1,3.3,2.1,31.4,1,0.6,3.5,9.8,3.3,310.8,49.5,1.7,16,13,4.6,4.3,118.9,1.3,0.2,0.1,3,6,0.3,6,2,2.9,125.3,110.3,16.1,7.1,20.7,23.8,12.7,22.9
14,Sogn og Fjordane,2014,Fylke,,,14,Sogn og Fjordane,14050,109170,1.9,19,16.2,1.2,3.1,2,29.8,1,0.7,3.5,9.8,3.3,310.3,53.4,1.5,19,16,4.3,4.2,115.8,0.8,0.1,0,2.9,8,0.2,5.9,5,1.9,64.6,142.1,16,7.3,19.7,23.2,16.5,22.9
14,Sogn og Fjordane,2015,Fylke,,,14,Sogn og Fjordane,14035,109530,1.9,19,14.4,0.9,3.4,1.8,47.6,1.2,0.7,0,0,3.9,294.1,55.4,1.8,15,14,4.3,4.2,117.2,0.9,0.1,0,3.1,7,0.2,7.1,2,1.2,106.3,124.9,15.7,7.7,19.9,22.6,14.8,20.5
15,Møre og Romsdal,2012,Fylke,,,15,Møre og Romsdal,32757,259404,1.9,18,7.1,1,2.6,2.2,50.3,0.8,0.4,2.7,5.3,2.9,143.6,49.3,1.7,17,17,3.9,2.7,110.2,1.1,0.1,0,3.1,6,0.3,5,12,1.5,5.8,35.2,22.4,5.7,22,19.2,9,16.4
15,Møre og Romsdal,2013,Fylke,,,15,Møre og Romsdal,32743,261530,1.9,18,7.9,1,2.6,2.1,44.7,1.5,0.9,3.2,5.7,2.9,142.4,50,1.7,18,18,3.8,3.1,107.5,1.4,0.1,0.1,3,4,0.3,4.3,15,2.1,35.4,42.5,22.3,5.7,20.6,18.9,12.4,16.3
15,Møre og Romsdal,2014,Fylke,,,15,Møre og Romsdal,32869,263719,2,18,9.7,1,2.6,2,52.9,1.6,1,3.2,5.6,2.9,141.2,54.5,1.6,16,18,3.6,3.1,106.1,1.9,0.2,0,3,5,0.3,5.7,6,2.4,36.7,43.1,22.1,5.7,19.9,18.5,15.6,16.2
15,Møre og Romsdal,2015,Fylke,,,15,Møre og Romsdal,32930,265290,2,18,8.8,0.8,2.6,1.7,60.9,1.5,0.9,0,0,4.1,281,58.4,1.9,14,16,3.5,3,100.6,1.8,0.2,0.1,3.1,2,0.3,4.9,14,1.7,32.7,39.5,21.7,5.4,19.9,18.7,15.3,16.7
16,Sør-Trøndelag,2012,Fylke,,,16,Sør-Trøndelag,35930,302755,4.3,4,23.2,2.6,3.4,3.3,63.1,1.8,0.7,3.8,11.6,3.4,289.7,84.5,2.9,4,4,5.4,4.9,150.4,1.9,0.3,0.2,2.8,8,0.2,4.2,14,4.1,8.8,299.7,20.9,4.2,18.4,13.6,7.8,14.6
16,Sør-Trøndelag,2013,Fylke,,,16,Sør-Trøndelag,35967,306197,4.3,4,25.9,2.6,3.4,3,60,3.9,1.4,4.7,12.5,3.4,286.4,82.7,2.8,2,2,5.1,4.9,144.9,1.8,0.3,0.2,2.9,10,0.2,4.3,16,5.9,34,309.4,20.7,4,18.6,12.7,13.5,14.5
16,Sør-Trøndelag,2014,Fylke,,,16,Sør-Trøndelag,36031,310047,4.3,4,31.4,2.7,3.4,3.1,57.5,3.6,1.5,4.7,12.4,3.4,282.9,80.4,2.6,2,3,4.9,4.6,140.7,1.8,0.3,0.2,2.9,4,0.2,4.5,14,5.2,19.6,334,20.4,4,18.2,13.3,17.9,14.3
16,Sør-Trøndelag,2015,Fylke,,,16,Sør-Trøndelag,36443,313370,4.4,4,31.8,2.4,3.1,2.8,61.2,2.9,1.4,0,0,6.6,411.5,79.7,2.8,3,2,5,4.6,139.1,2.3,0.4,0.1,2.8,6,0.2,4.6,12,3.5,44.7,349.9,22.4,3.9,19,13.9,19.6,15.2
17,Nord-Trøndelag,2012,Fylke,,,17,Nord-Trøndelag,17316,134443,2.2,15,8.2,1.1,2.5,2.3,58.8,1.7,0.8,2.4,8.7,2.8,134.1,65.3,1.8,10,13,4.9,5.2,132,1.2,0.2,0.1,3,12,0.3,4.9,9,4.2,23.3,48.3,47.6,5.5,24.1,20.1,8.9,15.7
17,Nord-Trøndelag,2013,Fylke,,,17,Nord-Trøndelag,17235,135142,2.1,17,7.8,1.2,2.7,2.3,37.4,1.8,1,3.6,10.4,2.8,133.4,65.4,1.8,11,10,4.7,4.8,129.7,0.9,0.1,0.2,10.8,8,0.3,5.7,3,3.8,66.5,40.4,47.4,5.9,23.3,18.8,15,15.6
17,Nord-Trøndelag,2014,Fylke,,,17,Nord-Trøndelag,17161,135738,2.2,16,8.6,1.1,2.5,2.1,39.6,2.1,0.7,3.6,10.4,2.7,132.8,62.9,1.6,11,13,4.5,4.2,128.3,1.3,0.2,0.1,2.8,9,0.2,6.1,9,3.7,65.1,64.6,47.1,6.1,20.5,17.8,20,15.5
17,Nord-Trøndelag,2015,Fylke,,,17,Nord-Trøndelag,17118,136399,2.3,15,6.7,1,2.7,1.8,43.8,1.9,0.7,0,0,3.3,188.2,73.2,1.9,11,12,4.3,4.8,126.8,1.2,0.1,0.1,2.9,8,0.3,5.5,4,3.5,69.2,30.9,45.5,6,20,17.5,20.5,16.6
18,Nordland,2012,Fylke,,,18,Nordland,29035,239611,2.2,17,14.1,0.9,3.2,2.9,94.3,1,0.6,3.5,8.3,2.9,194.2,52,1.6,15,16,3.9,2.8,107.5,1.1,0.2,0.1,3.1,2,0.2,5.7,4,1.9,12.5,144.2,15.4,7.9,21.3,14.9,10,14.9
18,Nordland,2013,Fylke,,,18,Nordland,28622,240877,2.3,15,22.7,1,3.4,2.9,91.6,1.8,1.2,3.9,9.7,2.9,193.2,53,1.6,15,19,3.8,2.5,102.3,1.3,0.2,0.1,2.7,2,0.2,5.4,4,3.4,39.6,167.6,15.3,8,20.8,14.9,16.4,14.8
18,Nordland,2014,Fylke,,,18,Nordland,28398,241682,2.4,17,20.2,0.9,3.6,2.8,98.1,1.8,1.2,3.9,9.6,2.9,192.5,54.1,1.5,17,19,3.4,2.5,104.7,1.3,0.2,0,2.6,5,0.2,5.8,4,2.4,40.9,158.4,15.3,8.2,20.3,15.3,20.8,14.8
18,Nordland,2015,Fylke,,,18,Nordland,28179,241906,2.3,17,17.6,0.7,3.6,2.4,87.5,2.3,1.3,0,0,3.7,233.9,53.2,1.6,18,18,3.6,4.2,115.2,1.4,0.2,0.2,2.7,4,0.2,5.5,6,2,50.8,283.6,12.8,8,19.2,14.7,20.9,12.8
19,Troms,2012,Fylke,,,19,Troms,19279,159964,3.3,5,16.9,2,3.3,3.1,60.7,0.3,0.2,3.9,10.9,2.2,144.1,76.1,2.6,6,5,4.7,5.5,129.2,2.1,0.4,0.2,3,4,0.3,3.9,16,4.7,10.3,285.3,11.6,7.2,19.3,8.1,6.3,20.8
19,Troms,2013,Fylke,,,19,Troms,19340,162050,3.3,5,17.2,1.9,3.5,3.1,76.4,1.6,0.8,7.7,11.3,2.2,142.2,75.2,2.5,5,6,4.3,5.3,119.5,1.8,0.3,0.3,3.1,3,0.2,4,14,4,33.6,272.5,11.4,7.6,19,7.9,7.4,20.5
19,Troms,2014,Fylke,,,19,Troms,19190,163453,3.4,5,26.6,2,3.4,2.8,78.6,1.7,0.8,7.6,11.2,2.1,141,75.1,2.5,4,2,4.2,5.3,118.6,2.3,0.3,0.3,2.6,11,0.2,4.7,17,4.1,35.9,305.2,11.3,7.7,18.2,7.9,14.1,20.3
19,Troms,2015,Fylke,,,19,Troms,19203,164330,3.5,5,20.4,1.6,3.5,2.3,74.4,1.9,0.7,0,0,4.1,252.5,76.3,2.5,5,6,4.1,5.3,117.7,2.6,0.4,0.3,2.5,8,0.2,5.3,7,2.1,39,139.4,11.2,7.5,17.3,8.5,12.7,21
20,Finnmark,2012,Fylke,,,20,Finnmark,9296,74534,2.1,14,24,2,4.3,6.3,186,0.8,0.3,2.8,6.7,2.9,155.8,95.5,1.8,3,12,4.2,4.1,141.5,1.4,0.1,0.4,4.5,1,0.3,4.2,15,1.7,19.3,101.8,8.7,5.1,12.6,8.5,5.4,27.6
20,Finnmark,2013,Fylke,,,20,Finnmark,9171,75207,2.1,14,32.1,2.2,4.6,5.6,179.7,1.9,1,3.2,9,2.9,154.4,96.3,1.9,12,15,3.8,3.8,137.3,1.1,0.1,0.5,3.6,1,0.3,4.4,12,3.6,107.2,107.4,8.6,5,13.8,9.1,10.1,27.3
20,Finnmark,2014,Fylke,,,20,Finnmark,9121,75605,2.3,13,26.6,2.3,4.5,5.4,169,1.8,1,3.1,8.9,2.9,153.6,96.9,1.8,7,12,3.4,3.6,124.1,1,0.2,0.7,3.8,1,0.2,5.9,6,2.4,123.3,235.4,8.6,5,12.2,7.8,17.2,27.2
20,Finnmark,2015,Fylke,,,20,Finnmark,8966,75758,2.3,12,34.3,1.7,4.5,5.3,163.3,2.2,1.1,0,0,3,203.5,98.7,1.9,2,13,3.2,3.4,123.3,1.2,0.2,0.5,3.7,1,0.2,5.1,11,1.2,111.8,68.7,7.4,5,10.8,7.7,17,18.2
101,Halden,2012,Kommune,3001,Halden (Region),1,Østfold,3569,29880,2.1,118,20.4,1.9,2.3,2,11.1,1,0,1.6,11.2,4.3,710.5,32.4,1.4,121,107,3.9,3.9,115.1,0.1,0,0,0.7,413,0.1,4.7,178,4.7,95.1,2.5,26.9,2.5,5.7,4.8,3.1,7.6
101,Halden,2013,Kommune,3001,Halden (Region),1,Østfold,3552,30132,1.8,169,12.5,1.7,2.2,2.9,12.4,1,0.5,1.5,9.7,4.2,704.6,33.6,1.4,124,112,3.6,3.4,79,0.2,0,0,0.6,415,0.1,4.6,212,9,139.6,743.3,26.7,2.7,2.7,4.4,6.5,7.5
101,Halden,2014,Kommune,3001,Halden (Region),1,Østfold,3597,30328,1.8,167,0,1.6,2.2,1.5,9.9,1.1,0.4,1.5,9.7,4.2,700,32.2,1.2,128,104,3.5,3.2,111.9,0.4,0.1,0,0.7,417,0.1,4.7,319,7.6,283.7,767,26.5,2.8,2.2,4.5,6.4,7.5
101,Halden,2015,Kommune,3001,Halden (Region),1,Østfold,3630,30544,2,157,2,1.6,2,1.2,9.8,1.3,0.2,0,0,5.1,665.8,32.3,1.4,139,107,3.6,3.4,107.1,2.3,0.5,0.1,0.7,418,0.1,4.7,253,2.8,144.8,786.4,21.8,2.8,3.3,4.5,7.7,8.7
104,Moss,2012,Kommune,3003,Mosseregionen,1,Østfold,3601,30988,3.5,26,13.2,2.6,1.5,3.5,174.3,0.2,0,3.4,4.5,4.3,187.7,179.1,3.7,11,27,3.9,2.5,105.9,0,0,0,1.2,390,0.2,5.5,47,1.8,2.7,16.8,6.5,6.5,18.6,8.6,4.4,16
104,Moss,2013,Kommune,3003,Mosseregionen,1,Østfold,3614,31308,3.4,27,16.2,2.7,1.3,3.7,173.8,1.7,0.4,3.4,7.9,4.2,185.8,188,3.7,7,26,3.9,2.5,132.3,0,0,0.1,1.1,405,0.2,5.6,59,2.5,43.1,32.5,6.4,8.5,15.5,8,7,15.8
