let WebInput = `Nr,Sted,År,Inndeling,Rnr,Region,Fnr,Fylke,Sum of Antall personer 6-15,Sum of Folkemengde,Kunstnertetthet,Kunstnermangfold,SKS tildelinger,Kulturformidling,Kunstnerisk Produksjon,Media,Kommunale Midler,Total Besøk,Betalende Besøk,TONO Arrangemanger,TONO Avregning,Billettselskap Arrangemanger,Billettselskap Omsettning,Filmfremvisninger,Kinobesøk,Mangfold filmframvisniger,Mangfold kinobesøk,Utlån,Besøk,Voksne aktive lånere,Teater Forestillinger,Teater Publikum,Dans Forestillinger,Timer,Mangfold Timer,Elever,Publikum,Mangfold Publikum,Frifond,Riksantikvar og Kulturminnefond,Statsbudsjett og Kulturråd,Historielag,Husflidlag,Kor,Korps,MVA Refusjon,Voksenopplæring
706,Sandefjord,2013,Kommune,3026,Sandefjord/Larvik,7,Vestfold,5613,44976,2.4,87,10,2.2,1.7,1.7,78.2,0.8,0.2,10.3,5.7,1.6,160.8,79.8,2,63,51,6.4,4.6,162.8,0.3,0,0.1,0.9,397,0.1,6.1,35,6.9,4.4,33.5,0,3.7,10.9,11.5,7.8,19.9
706,Sandefjord,2014,Kommune,3026,Sandefjord/Larvik,7,Vestfold,5537,45281,2.5,96,9.8,2.1,1.7,1.3,78.5,0.6,0.2,10.3,5.7,1.6,159.7,77.8,1.9,61,60,6.2,4.6,153.7,0.3,0,0.1,1.1,387,0.1,6.4,55,5,5.5,8,0,3.8,11.4,11.6,16.8,19.7
706,Sandefjord,2015,Kommune,3026,Sandefjord/Larvik,7,Vestfold,5595,45820,2.5,109,7.1,2.6,1.6,1.3,79.8,0.6,0.2,0,0,1.7,219.7,80.1,2,78,90,6.1,4.4,148.6,0.3,0.1,0.1,1,396,0.1,5.9,110,4.8,3.6,4.9,0,3.7,11.1,10.8,13.4,15
709,Larvik,2012,Kommune,3026,Sandefjord/Larvik,7,Vestfold,5068,43132,2.4,87,10.9,2.5,2,1.5,91.9,0.3,0,1.6,4.5,2.1,576.5,76.9,2.5,58,47,6.5,4.3,164.2,0.6,0.1,0.1,2.2,310,0.3,5,211,2.1,0,32.5,5.3,5.3,23.1,10.7,8,6.8
709,Larvik,2013,Kommune,3026,Sandefjord/Larvik,7,Vestfold,4999,43258,2.4,93,19.8,2.5,2.1,1.3,92.3,0.2,0,2.4,7.2,2.1,574.8,77.7,2.4,55,40,6.2,4.3,159.4,0.9,0.1,0.2,1.9,239,0.4,5.5,82,1,15.4,33.3,5.3,6.2,23.6,10.8,10.7,6.8
709,Larvik,2014,Kommune,3026,Sandefjord/Larvik,7,Vestfold,5053,43506,2.4,92,13.1,2.7,2.3,1.1,111.2,0.2,0,2.3,7.2,2.1,571.5,78.1,2.2,57,48,6.2,4.2,153.5,0.4,0.1,0.1,1.7,284,0.3,5.8,126,1.1,16.6,28.9,5.3,6.5,21.5,9.9,15,6.8
709,Larvik,2015,Kommune,3026,Sandefjord/Larvik,7,Vestfold,5137,43867,2.5,84,7.5,2.5,1.9,1.1,110,0.3,0,0,0,2.4,606.2,74.9,2.4,71,63,6.4,4.3,154.1,0.5,0.1,0.1,1.8,300,0.4,5.3,234,0.6,19.4,1.8,5.2,6.4,19.9,11.3,15.3,9.5
711,Svelvik,2012,Kommune,3020,Drammensregionen,7,Vestfold,810,6570,2.9,146,61.8,1.8,2.1,0.5,52.7,0.3,0,0.2,1.7,1.1,77,0,0,282,282,3.2,1.1,88,0.2,0,0,0.9,376,0.1,4.6,182,4,0,0,0,5.9,20.7,10.2,12.2,1.5
711,Svelvik,2013,Kommune,3020,Drammensregionen,7,Vestfold,798,6580,2.9,88,65,1.5,2.1,0.5,40.1,0.4,0,0.5,1.9,1.1,76.9,0,0,305,305,3,1.7,82.2,0.3,0,0,1,409,0.1,4.7,218,5.2,1.1,0,0,6.4,19.1,9.7,15.4,1.5
711,Svelvik,2014,Kommune,3020,Drammensregionen,7,Vestfold,802,6601,3,95,36.1,1.2,2.1,0.5,42.1,0,0,0.5,1.9,1.1,76.6,0,0,301,301,2.4,0.9,68.8,0.2,0,0,0.8,408,0.1,4.8,336,0,3,0,0,7,9.5,9.4,20.3,1.5
711,Svelvik,2015,Kommune,3020,Drammensregionen,7,Vestfold,782,6604,2.9,107,35.4,0.5,2.1,0.5,67.2,0.4,0.1,0,0,1.7,120.1,0,0,304,304,2.2,1,66.6,0.2,0,0,1,407,0.1,5.5,187,0,3.3,13.6,0,7.3,10.4,11.4,16.7,3.5
713,Sande,2012,Kommune,3020,Drammensregionen,7,Vestfold,1168,8835,2,162,22.2,1.5,0.7,0.2,26.5,0,0,1.4,4.9,1,51.7,0,0,282,282,8,5,157.2,0.1,0,0,1.8,400,0.1,4.2,286,0.8,0,0,0,1.7,7.2,10.8,3,6.2
713,Sande,2013,Kommune,3020,Drammensregionen,7,Vestfold,1213,9036,2.1,160,22.4,1.7,0.9,0.1,28.4,0,0,3,3.1,1,50.6,0,0,305,305,7,4.6,152.6,0.1,0,0,1.9,325,0.1,4.2,266,0.4,0,4.4,0,0,6.4,9.6,6,6.1
713,Sande,2014,Kommune,3020,Drammensregionen,7,Vestfold,1229,9149,1.9,187,22.4,1.4,0.7,0.1,59.7,0,0,3,3,1,49.9,0,0,301,301,7,4.4,142.6,0.3,0,0,1.9,335,0.1,4.8,294,2.4,10.2,0,0,0,7.9,11.3,5.9,6
713,Sande,2015,Kommune,3020,Drammensregionen,7,Vestfold,1246,9297,1.7,197,22.6,1.4,0.5,0.3,43.9,0,0,0,0,1.3,125.4,0,0,304,304,6.8,4.5,141.1,0.2,0,0,1.8,327,0.1,4.4,352,2.2,0,0,0,0,4.3,10.1,6.3,13
714,Hof,2012,Kommune,3025,Tønsbergregionen,7,Vestfold,413,3060,4.2,63,132.7,4.9,1.6,0,58.5,0,0,1.6,2,2,68.6,0,0,282,282,3.7,2.4,105.6,0,0,0,1.6,336,0.3,5.3,102,0,0,0,76.5,1.6,20.6,17.3,2.8,7.8
714,Hof,2013,Kommune,3025,Tønsbergregionen,7,Vestfold,427,3091,3.9,63,146.2,4.2,1.9,0,113.6,4.7,2.9,1.3,0.4,1.9,67.9,0,0,305,305,3.6,1.4,89.9,0,0,0,1.5,322,0.3,3.9,351,5.5,0,0,75.7,0,20.1,17.5,3.2,7.8
714,Hof,2014,Kommune,3025,Tønsbergregionen,7,Vestfold,421,3114,4.5,45,172.4,4.8,1.3,0,98.9,3.6,0.2,1.3,0.4,1.9,67.4,0,0,301,301,4.8,1.3,99.9,0,0,0,1.5,305,0.3,4.2,392,0,96.3,0,75.1,0,7.1,10.9,3.1,7.7
714,Hof,2015,Kommune,3025,Tønsbergregionen,7,Vestfold,408,3163,3.8,115,74,4.7,0.9,0.3,111,2.9,0.5,0,0,2.2,83.8,0,0,304,304,4.7,1.7,98.3,0.3,0,0,1.9,260,0.3,5.1,203,0,79,0,74,0,13.3,23.4,3.4,11.7
716,Re,2012,Kommune,3025,Tønsbergregionen,7,Vestfold,1230,8994,1.8,184,0,1,0.6,0.3,95.7,0,0,0.7,1,1.2,104.6,0,0,282,282,4.9,3.5,110.5,0.4,0,0,1.6,339,0.1,5.5,281,0.4,16.4,6.7,40.1,2.4,13.3,12,15.2,28.8
716,Re,2013,Kommune,3025,Tønsbergregionen,7,Vestfold,1230,9144,1.6,209,0,1.1,0.8,0.1,144.7,0,0,0.9,4.2,1.2,102.9,0,0,305,305,4.8,3.5,100,0.3,0,0,1.5,321,0.2,4.9,143,1.5,32.6,0,39.5,0,13.1,13.3,11.8,28.3
716,Re,2014,Kommune,3025,Tønsbergregionen,7,Vestfold,1233,9253,1.4,242,0,1.2,0.5,0.1,11.9,0,0,0.9,4.1,1.2,101.7,0,0,301,301,4.6,3.5,100.8,0.1,0,0,1.5,303,0.1,5.4,250,1.4,76.8,0,39,0,11.8,13.2,20.1,28
716,Re,2015,Kommune,3025,Tønsbergregionen,7,Vestfold,1245,9361,1.2,285,0,1.3,0.5,0.1,84,0,0,0,0,0.9,109,0,0,304,304,4.4,2.7,94.5,0.4,0,0,1.9,265,0.1,5.5,169,1.2,66.2,0,40.6,0,8.3,10.1,23.6,41
